postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
446254,RU,Безенчук 4,Самарская Область,65.0,БЕЗЕНЧУКСКИЙ РАЙОН,,,,52.98,49.42,1.0
399841,RU,Бигильдино,Липецкая Область,43.0,ДАНКОВСКИЙ РАЙОН,,,,53.3569,39.1503,4.0
302038,RU,Орел 38,Орловская Область,56.0,,,,,53.0747,36.2468,1.0
620034,RU,Екатеринбург 34,Свердловская Область,71.0,,,,,56.8575,60.6125,1.0
398035,RU,Липецк 35,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
603093,RU,Нижний Новгород 93,Нижегородская Область,51.0,,,,,56.3287,44.002,1.0
398041,RU,Липецк 41,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
660115,RU,Красноярск 115,Красноярский Край,91.0,,,,,58.1708,109.0781,1.0
427962,RU,Сарапул 2,Удмуртская Республика,80.0,,,,,56.4667,53.8039,1.0
398059,RU,Липецк 59,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
446600,RU,Нефтегорск,Самарская Область,65.0,НЕФТЕГОРСКИЙ РАЙОН,,,,52.8167,51.2,4.0
446008,RU,Сызрань 8,Самарская Область,65.0,,,,,53.1731,48.4744,1.0
127644,RU,Москва 644,Москва,48.0,,,,,55.7522,37.6156,1.0
398046,RU,Липецк 46,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
162604,RU,Череповец 4,Вологодская Область,85.0,,,,,59.1333,37.9,1.0
665831,RU,Ангарск 31,Иркутская Область,20.0,,,,,52.4546,103.8195,1.0
115580,RU,Москва 580,Москва,48.0,,,,,55.752,37.615,1.0
302039,,,,,,,,,,,
665830,RU,Ангарск 30,Иркутская Область,20.0,,,,,52.4546,103.8195,1.0
162600,RU,Череповец,Вологодская Область,85.0,,,,,59.1333,37.9,4.0
300026,RU,Тула 26,Тульская Область,76.0,,,,,54.2044,37.6111,1.0
173015,RU,Великий Новгород 15,Новгородская Область,52.0,,,,,58.5167,31.2833,1.0
398532,RU,Подгорное,Липецкая Область,43.0,ЛИПЕЦКИЙ РАЙОН,,,,52.5383,39.5081,4.0
127434,RU,Москва 434,Москва,48.0,,,,,55.7522,37.6156,1.0
188544,RU,Сосновый Бор 4,Ленинградская Область,42.0,,,,,59.9,29.1167,1.0
461049,RU,Бузулук 9,Оренбургская Область,55.0,,,,,52.7833,52.25,1.0
606541,RU,Чкаловск 1,Нижегородская Область,51.0,ЧКАЛОВСКИЙ РАЙОН,,,,56.9719,42.7774,1.0
303036,RU,Мценск 6,Орловская Область,56.0,,,,,53.27,36.5547,1.0
164200,RU,Няндома,Архангельская Область,6.0,НЯНДОМСКИЙ РАЙОН,,,,61.6658,40.1969,4.0
454010,RU,Челябинск 10,Челябинская Область,13.0,,,,,55.1544,61.4297,1.0
624380,RU,Верхотурье,Свердловская Область,71.0,ВЕРХОТУРСКИЙ РАЙОН,,,,58.8631,60.8036,4.0
694490,RU,Оха,Сахалинская Область,64.0,,,,,53.5739,142.9478,4.0
354340,RU,Сочи-Адлерский Узел Связи,Краснодарский Край,38.0,,,,,43.545,40.095,1.0
398006,RU,Липецк 6,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
628462,RU,Радужный 2,Тюменская Область,78.0,,,,,60.9881,71.9931,1.0
398002,RU,Липецк 2,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
446300,RU,Отрадный,Самарская Область,65.0,,,,,53.3667,51.35,4.0
0,,,,,,,,,,,
446218,RU,Новокуйбышевск 18,Самарская Область,65.0,,,,,52.6543,49.8199,1.0
623103,RU,Первоуральск 3,Свердловская Область,71.0,,,,,56.9053,59.9436,1.0
162603,RU,Череповец 3,Вологодская Область,85.0,,,,,59.1333,37.9,1.0
628011,RU,Ханты-Мансийск 11,Тюменская Область,78.0,,,,,61.0042,69.0019,1.0
366211,RU,Ойсхара,Чеченская Республика,12.0,ГУДЕРМЕССКИЙ РАЙОН,,,,43.2633,46.2494,4.0
398027,RU,Липецк 27,Липецкая Область,43.0,,,,,52.6186,39.5689,1.0
606523,RU,Заволжье 3,Нижегородская Область,51.0,ГОРОДЕЦКИЙ РАЙОН,,,,56.6789,43.3743,1.0
660000,RU,Красноярск,Красноярский Край,91.0,,,,,56.0097,92.7917,4.0
452612,RU,Октябрьский 12,Башкортостан Республика,8.0,,,,,56.175,47.2864,1.0
119634,RU,Москва 634,Москва,48.0,,,,,55.7522,37.6156,1.0
446031,RU,Сызрань 31,Самарская Область,65.0,,,,,53.4758,48.9222,1.0
665829,RU,Ангарск 29,Иркутская Область,20.0,,,,,52.4546,103.8195,1.0
352800,RU,Туапсе,Краснодарский Край,38.0,,,,,44.1125,39.0742,4.0
628600,RU,Нижневартовск,Тюменская Область,78.0,,,,,60.9333,76.5667,4.0
194355,RU,Санкт-Петербург 355,Санкт-Петербург,66.0,,,,,60.0922,30.2368,1.0
162606,RU,Череповец 6,Вологодская Область,85.0,,,,,59.1333,37.9,1.0
162609,RU,Череповец 9,Вологодская Область,85.0,,,,,59.1333,37.9,1.0
628380,RU,Пыть-Ях,Тюменская Область,78.0,,,,,60.7499,72.8582,4.0
162614,RU,Череповец 14,Вологодская Область,85.0,,,,,58.6304,38.2367,1.0
302040,RU,Орел 40,Орловская Область,56.0,,,,,53.0747,36.2468,1.0
628301,RU,Нефтеюганск 1,Тюменская Область,78.0,,,,,61.0833,72.7,1.0
446200,RU,Новокуйбышевск,Самарская Область,65.0,,,,,53.1072,49.9253,4.0
