,cursUSD,quarter
0,57.6002,2017Q4
1,33.4133,2009Q1
2,29.6309,2010Q1
3,28.79,2005Q4
4,24.5462,2007Q4
5,24.9493,2007Q3
6,27.7487,2004Q4
7,73.6567,2020Q4
8,75.8287,2021Q1
9,69.4706,2018Q4
10,62.0315,2019Q4
11,30.1985,2009Q3
12,30.3727,2012Q4
13,64.7347,2019Q1
14,3550.0,1994Q4
15,32.0197,2011Q4
16,60.273,2016Q4
17,32.6282,2013Q4
18,72.1777,2021Q2
19,26.3311,2006Q4
20,24.22,1999Q2
21,58.4485,2022Q3
22,29.2853,2012Q1
23,28.4886,2004Q1
24,32.3451,2013Q3
25,72.5066,2015Q4
26,69.1284,2020Q2
27,30.9833,2010Q2
28,31.0834,2013Q1
29,54.8126,2015Q2
30,27.8043,2006Q1
31,71.9778,2022Q4
32,25.0221,2008Q3
33,68.7549,2016Q1
34,30.14,2001Q4
35,38.7243,2014Q3
36,30.3592,2010Q4
37,31.7844,2002Q4
38,65.547,2015Q3
39,57.7279,2015Q1
40,73.6514,2021Q4
41,28.16,2000Q4
42,63.9509,2016Q3
43,63.291,2018Q2
44,31.6358,2002Q3
45,58.4255,2017Q3
46,29.23,2008Q4
47,57.0241,2017Q1
48,28.584,2005Q2
49,64.4156,2019Q3
50,35.6871,2014Q1
51,5861.0,1997Q3
52,86.2843,2022Q1
53,30.3483,2003Q2
54,59.5415,2017Q2
55,56.6801,2014Q4
56,65.5906,2018Q3
57,28.2352,2011Q2
58,32.709,2013Q2
59,26.0204,2007Q1
60,28.09,2000Q2
61,78.6713,2020Q3
62,72.5083,2021Q3
63,33.6306,2014Q2
64,57.7626,2018Q1
65,1985.0,1994Q2
66,23.4573,2008Q2
67,63.0756,2019Q2
68,64.8095,2016Q2
69,52.9699,2022Q2
70,77.7325,2020Q1
71,26.7498,2006Q3
72,31.4471,2002Q2
73,28.3436,2011Q1
74,6.104,1998Q1
75,30.6013,2010Q3
76,31.3805,2003Q1
77,29.39,2001Q3
78,5960.0,1997Q4
79,29.8491,2009Q4
80,24.2,1999Q1
81,27.8313,2005Q1
82,32.9412,2012Q2
83,31.818,2011Q3
84,31.1184,2009Q2
85,25.7965,2007Q2
86,30.9169,2012Q3
87,23.5156,2008Q1
88,28.76,2001Q1
89,27.75,2000Q3
90,27.0,1999Q4
91,28.27,2000Q1
92,1247.0,1993Q4
93,31.1192,2002Q1
94,29.11,2001Q2
95,27.0611,2006Q2
96,5726.0,1997Q1
97,28.5366,2005Q3
98,30.4998,2003Q3
99,5782.0,1997Q2
100,5108.0,1996Q2
101,2476.0,1994Q3
102,29.0242,2004Q2
103,1753.0,1994Q1
104,25.22,1999Q3
105,4854.0,1996Q1
106,5555.0,1996Q4
107,15.9932,1998Q3
108,29.215,2004Q3
109,4640.0,1995Q4
110,6.196,1998Q2
111,20.62,1998Q4
112,5396.0,1996Q3
113,29.4545,2003Q4
114,1201.0,1993Q3
115,1066.0,1993Q2
116,4897.0,1995Q1
117,4516.0,1995Q2
118,4508.0,1995Q3
119,76.9781,2023Q1
